Visitor/Neutral;PTS;Home/Neutral;PTS
Milwaukee Bucks;91;Washington Wizards;104
Orlando Magic;88;Brooklyn Nets;97
Toronto Raptors;116;Detroit Pistons;107
Oklahoma City Thunder;97;Indiana Pacers;102
Memphis Grizzlies;102;Los Angeles Lakers;90
Chicago Bulls;89;New York Knicks;100
Golden State Warriors;117;Portland Trail Blazers;119
Minnesota Timberwolves;103;Sacramento Kings;106
Charlotte Bobcats;95;Atlanta Hawks;93
Orlando Magic;95;Chicago Bulls;108
Minnesota Timberwolves;120;Golden State Warriors;130
San Antonio Spurs;98;Houston Rockets;104
Oklahoma City Thunder;89;New Orleans Pelicans;101
Boston Celtics;108;Philadelphia 76ers;113
Memphis Grizzlies;97;Phoenix Suns;91
Milwaukee Bucks;100;Toronto Raptors;110
Los Angeles Lakers;119;Utah Jazz;104
Miami Heat;93;Washington Wizards;114
New York Knicks;109;Brooklyn Nets;98
Denver Nuggets;105;Los Angeles Clippers;117
Washington Wizards;118;Boston Celtics;102
Chicago Bulls;86;Charlotte Bobcats;91
Brooklyn Nets;85;Cleveland Cavaliers;114
Golden State Warriors;116;Denver Nuggets;112
Dallas Mavericks;105;Memphis Grizzlies;106
Philadelphia 76ers;100;Miami Heat;87
Atlanta Hawks;111;Milwaukee Bucks;103
Utah Jazz;136;Minnesota Timberwolves;130
Houston Rockets;100;New Orleans Pelicans;105
Toronto Raptors;92;New York Knicks;95
Detroit Pistons;111;Oklahoma City Thunder;112
Indiana Pacers;101;Orlando Magic;86
Los Angeles Clippers;104;Portland Trail Blazers;110
Phoenix Suns;104;Sacramento Kings;99
Los Angeles Lakers;113;San Antonio Spurs;100
