Visitor/Neutral;PTS;Home/Neutral;PTS
Memphis Grizzlies;99;Utah Jazz;86
Los Angeles Lakers;111;Philadelphia 76ers;98
New Orleans Hornets;94;Portland Trail Blazers;95
Denver Nuggets;122;Sacramento Kings;97
Houston Rockets;96;Toronto Raptors;103
Los Angeles Clippers;88;Detroit Pistons;76
Chicago Bulls;71;Memphis Grizzlies;80
Houston Rockets;109;New York Knicks;96
San Antonio Spurs;93;Oklahoma City Thunder;107
Minnesota Timberwolves;93;Orlando Magic;102
Sacramento Kings;90;Phoenix Suns;101
Utah Jazz;92;Brooklyn Nets;90
Boston Celtics;89;Chicago Bulls;100
Toronto Raptors;113;Cleveland Cavaliers;99
Philadelphia 76ers;100;Dallas Mavericks;107
San Antonio Spurs;106;Denver Nuggets;112
New Orleans Hornets;96;Golden State Warriors;103
Charlotte Bobcats;100;Los Angeles Lakers;101
Minnesota Timberwolves;92;Miami Heat;103
Indiana Pacers;93;Milwaukee Bucks;98
Atlanta Hawks;100;Washington Wizards;95
Oklahoma City Thunder;100;Atlanta Hawks;92
Cleveland Cavaliers;91;Boston Celtics;103
Philadelphia 76ers;103;Houston Rockets;125
Utah Jazz;84;Indiana Pacers;104
New Orleans Hornets;77;Los Angeles Clippers;93
Milwaukee Bucks;80;Memphis Grizzlies;90
Brooklyn Nets;86;New York Knicks;100
Washington Wizards;83;Orlando Magic;90
Charlotte Bobcats;104;Phoenix Suns;121
Golden State Warriors;127;Sacramento Kings;131
Detroit Pistons;91;Toronto Raptors;97
Miami Heat;110;Dallas Mavericks;95
Oklahoma City Thunder;93;Minnesota Timberwolves;99
Denver Nuggets;93;Portland Trail Blazers;101
Milwaukee Bucks;99;Boston Celtics;94
Indiana Pacers;99;Cleveland Cavaliers;89
Washington Wizards;68;Detroit Pistons;100
Charlotte Bobcats;100;Golden State Warriors;115
Sacramento Kings;85;Los Angeles Clippers;97
Dallas Mavericks;82;Memphis Grizzlies;92
Chicago Bulls;110;New York Knicks;106
Atlanta Hawks;80;Philadelphia 76ers;99
New Orleans Hornets;94;San Antonio Spurs;99
Orlando Magic;90;Toronto Raptors;93
Chicago Bulls;75;Atlanta Hawks;92
Charlotte Bobcats;88;Denver Nuggets;110
Los Angeles Lakers;118;Golden State Warriors;115
Memphis Grizzlies;96;Houston Rockets;121
Utah Jazz;89;Miami Heat;105
Cleveland Cavaliers;94;Milwaukee Bucks;82
Indiana Pacers;81;New Orleans Hornets;75
Phoenix Suns;93;Portland Trail Blazers;96
Detroit Pistons;96;Washington Wizards;87
Philadelphia 76ers;92;Brooklyn Nets;95
Minnesota Timberwolves;91;New York Knicks;94
Utah Jazz;97;Orlando Magic;93
Los Angeles Clippers;103;Phoenix Suns;77
Portland Trail Blazers;96;Sacramento Kings;108
Dallas Mavericks;91;San Antonio Spurs;129
Boston Celtics;93;Brooklyn Nets;76
Houston Rockets;120;Chicago Bulls;97
Denver Nuggets;100;Los Angeles Clippers;112
New York Knicks;94;Los Angeles Lakers;100
Oklahoma City Thunder;97;Miami Heat;103
Detroit Pistons;119;Atlanta Hawks;126
Miami Heat;105;Charlotte Bobcats;92
Los Angeles Lakers;114;Denver Nuggets;126
Philadelphia 76ers;99;Memphis Grizzlies;89
Brooklyn Nets;93;Milwaukee Bucks;108
Houston Rockets;87;Minnesota Timberwolves;84
New Orleans Hornets;97;Orlando Magic;94
New York Knicks;99;Phoenix Suns;97
Sacramento Kings;91;Portland Trail Blazers;109
Toronto Raptors;80;San Antonio Spurs;100
Golden State Warriors;94;Utah Jazz;83
Cleveland Cavaliers;87;Washington Wizards;84
Boston Celtics;77;Los Angeles Clippers;106
Dallas Mavericks;105;Oklahoma City Thunder;111
Charlotte Bobcats;81;Brooklyn Nets;97
Atlanta Hawks;102;Cleveland Cavaliers;94
Denver Nuggets;106;Dallas Mavericks;85
Miami Heat;99;Detroit Pistons;109
Philadelphia 76ers;89;Golden State Warriors;96
